# nbody-bodies-v1
# seed=1234567, n=1000, total_mass=1.9890000000000001e+31, radius=299200000000.0
mass,x,y,z,vx,vy,vz
1.989e+28,-218672651525.8751,-122883668586.67406,-156170261888.2321,-49605.0810564607,-27875.705069757816,-35426.6454699196
1.989e+28,-50124141140.95102,-42273437189.09562,170251584688.67648,-23435.74972499287,-19765.12058716252,79601.8333327107
1.989e+28,-99421325315.20332,-76390131339.41064,8605739178.878979,-81306.76606006903,-62471.854186413955,7037.774038645672
1.989e+28,94749988798.95773,186393507324.93326,180176735644.0002,23806.845231874308,46833.159954523704,45271.13632659584
1.989e+28,-96925921987.63115,-215363667103.40292,175147716821.7265,-22150.060088068745,-49216.1237087428,40025.74721326214
1.989e+28,-120584464461.87917,175558467803.4365,-119907393697.89641,-36359.368034274914,52935.46702623947,-36155.21350074726
1.989e+28,-3537278835.7150044,-218173466103.86902,74575537907.05647,-1163.9010004140857,-71787.47485163223,24538.22477890598
1.989e+28,-246601887443.38226,-87156150227.11269,-51590523456.06865,-65275.44969895601,-23070.20825787771,-13655.996933813374
1.989e+28,-139550313131.24945,-192622991614.95453,-163725065306.7756,-32767.177939671314,-45228.93356450414,-38443.54217281999
1.989e+28,102524463018.29408,-214238374141.75986,1605384838.3331342,32271.463419830172,-67435.4749169086,505.3244519385901
1.989e+28,166841337397.88885,41392985282.40518,187017817453.51755,47481.74505384335,11780.121190886128,53223.81411794232
1.989e+28,82698250688.86046,210317334587.7493,-12158124023.740055,27985.601942936988,71172.69299464246,-4114.384723582562
1.989e+28,-168070573287.4136,-83734771461.33427,132571967552.07458,-55567.70273684566,-27684.49466370434,43831.109396972024
1.989e+28,158423266651.4337,39944367640.024826,-16392412769.116629,86750.39473441402,21872.98452703221,-8976.259033334654
1.989e+28,-181591753414.02737,-5842043280.010494,149448541264.26923,-57984.14304988832,-1865.425422042322,47720.479770394304
1.989e+28,45308066607.4019,-59836780383.60242,-76689001813.885,46963.554547422325,-62023.12545881958,-79491.1014650396
1.989e+28,106291268567.49762,-5344805016.212789,91188387432.1773,73812.7885073058,-3711.6403594710596,63324.76078765863
1.989e+28,211503567336.05978,26455926994.176178,173518691887.37842,53480.323644257885,6689.587110884516,43875.552158987724
1.989e+28,46142971098.99471,-57558281074.29402,-60115001813.06695,57269.48374095737,-71437.38176438211,-74610.60778975426
1.989e+28,176317367118.65784,76124088790.31052,-187038091949.63956,46283.07534467919,19982.47248472077,-49097.25141372165
1.989e+28,138245097187.07172,15737218266.898478,-206928767564.82828,40451.71512387462,4604.846632017456,-60549.1531113025
1.989e+28,38197882914.36385,-24285565416.195118,166583615432.9569,19404.719626520997,-12337.191276524683,84625.32751083908
1.989e+28,-139410230988.17178,-108052523580.23273,-13269862441.191496,-68280.13620580726,-52921.80477102474,-6499.293548934414
1.989e+28,-261566572590.56296,-119874936860.91887,-52665786314.53232,-60241.501408056305,-27608.444405476934,-12129.47820128969
1.989e+28,209180564858.74487,3067365802.755526,76847701168.4059,72436.96434494936,1062.1955602670812,26611.526712752475
1.989e+28,74318290944.32498,181895744843.35037,-69320813990.00821,28470.017223520823,69681.02902762964,-26555.57256722304
1.989e+28,-23817087749.705025,-128036479434.76436,224133134365.43695,-6575.05313954962,-35346.33053929333,61875.20843327349
1.989e+28,4213221893.73559,103960454136.46518,33252699497.360165,4252.238466786688,104923.18070429006,33560.63637127939
1.989e+28,186496050906.66614,-162519807250.73148,-104742720448.46704,48802.98315708964,-42528.79016682385,-27409.466297130966
1.989e+28,-141026838507.64172,-195314722387.26547,74005276379.47731,-40613.7613726857,-56247.9143087287,21312.486807487214
1.989e+28,187875225219.4072,98154937257.48512,-90608576650.18277,61846.34580263747,32311.46727714227,-29827.29286231149
1.989e+28,-106450919316.38708,14078353378.855927,50046010944.22085,-95119.10894190439,12579.698112197328,44718.561358429484
1.989e+28,-53420300850.7434,-151679092407.00064,202090193576.07947,-14829.545509730648,-42106.31478862131,56100.502523939664
1.989e+28,-88460063279.16331,87823793863.50476,-261307172143.9253,-20689.853069255143,20541.036527253676,-61116.92437454823
1.989e+28,-140994981624.32022,69045158051.76451,26782569847.558907,-80827.21872098994,39581.04059579289,15353.458726260329
